"Gene_name"	"GO_terms"
"gh1"	"GO:0005576, GO:0005179, GO:0005615, GO:0008083, GO:0010469, GO:0031667, GO:0046427, GO:0005131, GO:0042531, GO:0045927, GO:0048513, GO:0050731, GO:0060396"
"fbxo33"	"GO:0005515, GO:0031146, GO:0019005"
"ift74"	"GO:0030992, GO:0060271, GO:0042073, GO:0048487, GO:0005813, GO:0005929, GO:0007369, GO:0035776, GO:0030992, GO:0060271, GO:0042073, GO:0048487, GO:0005813, GO:0005929, GO:0031514"
"plekho1"	""
"sult1b1"	"GO:0008146, GO:0016740"
"fkbp4"	"GO:0000413, GO:0031072, GO:0005528, GO:0003755, GO:0005515, GO:0005737, GO:0016853, GO:0061077"
"arf1"	"GO:0005525, GO:0000166, GO:0005886, GO:0005737, GO:0006886, GO:0005794, GO:0016192, GO:0006893"
"nck1"	"GO:0005070, GO:0005515, GO:0005737, GO:0005783, GO:0009967, GO:0006417"
"rab8a"	"GO:0005525, GO:0003924, GO:0005768, GO:0072659, GO:0005886, GO:0006886, GO:0006904, GO:0009306, GO:0017157, GO:0032482, GO:0032869, GO:0048210, GO:0008021, GO:0030140, GO:0043197, GO:0032402, GO:0035845, GO:0098969"
"vps45"	"GO:0006904, GO:0016192"
"zfc3h1"	"GO:0000178, GO:0003723, GO:0000178, GO:0006396, GO:0003723, GO:0005515"
"snx3"	"GO:0035091, GO:0006783, GO:0030218, GO:0042541"
"tpm4"	"GO:0051015, GO:0007015, GO:0005884, GO:0051015, GO:0007015, GO:0005884"
"tet2"	"GO:0080111, GO:0006211, GO:0070579, GO:0005634, GO:0045944, GO:0005506, GO:0030097, GO:0030099, GO:0030218, GO:0060319, GO:0070989, GO:0098508"
"otud7b"	"GO:0005634, GO:0070530, GO:0005737, GO:0004843, GO:0035871, GO:0070536, GO:0071108, GO:0043124, GO:0071947, GO:0003677, GO:0008270, GO:0005634, GO:0070530, GO:0005737, GO:0004843, GO:0035871, GO:0070536, GO:0071108, GO:0043124, GO:0071947, GO:0007219"
"saal1"	", "
"eif3i"	"GO:0005852, GO:0003743, GO:0005737, GO:0005515, GO:0006412, GO:0001732, GO:0002183, GO:0006413, GO:0016282, GO:0033290, GO:0001889, GO:0002040"
"chrnd"	"GO:0045211, GO:0022848, GO:0034220, GO:0005216, GO:0004888, GO:0006811, GO:0005230, GO:0016021, GO:0016020, GO:0005887, GO:0005886, GO:0030054, GO:0045202, GO:0043005, GO:0007165, GO:0007268, GO:0042391, GO:0050877, GO:0060079, GO:0007274, GO:0015464, GO:0042166, GO:0007271, GO:0060078, GO:0005892, GO:0035094, GO:0030239"
"amn1"	"GO:0005515, GO:0006511, GO:0016567, GO:0019005, GO:0031146, GO:0004842"
"kiz"	"GO:0005813, GO:0007051"
"ccdc51"	"GO:0016020, GO:0016021"
"slc35g2"	"GO:0016020, GO:0016021"
"afg1l"	"GO:0005524, GO:0005737, GO:0005739, GO:0016887"
"cxxc4"	"GO:0003677, GO:0008270"
"anapc1"	"GO:0005680, GO:0061630, GO:0031145, GO:0070979, GO:0007091, GO:0005680, GO:0061630, GO:0031145, GO:0070979, GO:0007091"
"nsf"	"GO:0035494, GO:0016887, GO:0005524, GO:0035494, GO:0016887, GO:0005524, GO:0043001, GO:0048211, GO:0005795"
"stag1"	"GO:0005634, GO:0003682, GO:0008278, GO:0000785, GO:0007062"
"tacr3"	"GO:0005886, GO:0004995, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0007217, GO:1902093, GO:0097225"
"ralgapa2"	"GO:0051056, GO:0043547, GO:0005096, GO:0005634, GO:0005737"
"tma7"	""
"cenpe"	"GO:0008017, GO:0003777, GO:0007018, GO:0005524, GO:0005634, GO:0000166, GO:0016887, GO:0005874, GO:0003774, GO:0005871, GO:0090307, GO:0072686, GO:0008017, GO:0003777, GO:0007018, GO:0005524, GO:0005634, GO:0000166, GO:0016887, GO:0005874, GO:0003774, GO:0005871, GO:0090307, GO:0072686"
"larp4b"	"GO:0003676, GO:0003723, GO:0003676, GO:0003723"
"dennd5b"	"GO:0005515, GO:0005515"
"foxo3"	"GO:0043565, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0005737, GO:0000122, GO:0045944, GO:0000981, GO:0008134, GO:0008286, GO:0042593"
"itfg2"	"GO:0005515"
"get4"	"GO:0005515"
"rfx5"	"GO:0006357, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0000978, GO:0006357, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0000978"
"gtf2h1"	"GO:0000439, GO:0006289, GO:0006351, GO:0006366, GO:0008353, GO:0005675, GO:0070816, GO:0008094, GO:0006360"
"mtmr11"	""
"lgr5"	"GO:0016500, GO:0016021, GO:0007186, GO:0004930, GO:0005515, GO:0016020, GO:0008528, GO:0007189, GO:0007190, GO:0009755, GO:0005887"
"ccdc82"	", "
"cln3"	"GO:0016020, GO:0016021, GO:0007040, GO:0005764, GO:0005765, GO:0051453, GO:0015809, GO:0016020, GO:0016021, GO:0007040, GO:0005764, GO:0005765, GO:0051453, GO:0015809, GO:0016020, GO:0016021, GO:0007040, GO:0005764, GO:0005765, GO:0051453, GO:0015809"
"cib3"	"GO:0005509, GO:0007229, GO:0005509"
"bdh2"	"GO:0016491, GO:0005737, GO:0055114, GO:0055072, GO:0003858, GO:0019290, GO:0042168, GO:0042541, GO:0043249"
"sf3b4"	"GO:0003676, GO:0005634, GO:0003723, GO:0000398, GO:0005686, GO:1990904, GO:0003676, GO:0005634, GO:0003723, GO:0000398, GO:0005686, GO:1990904"
"sun1"	"GO:0034993, GO:0005639, GO:0016020, GO:0016021, GO:0005635, GO:0006998, GO:0090286, GO:0043495"
"maml2"	"GO:0016607, GO:0045944, GO:0007219, GO:0003713, GO:0005654, GO:0007221"
"rngtt"	"GO:0004651, GO:0006370, GO:0004484, GO:0004725, GO:0016791, GO:0016311, GO:0008138, GO:0005634, GO:0016787, GO:0006470, GO:0016740, GO:0000166, GO:0035335, GO:0005525, GO:0006397, GO:0016779, GO:0098507"
"spns1"	"GO:0055085, GO:0016021, GO:0016020"
