"Gene_name"	"GO_terms"
"cgnl1"	"GO:0016459, GO:0003774, GO:0016459, GO:0003774"
"acsl3"	"GO:0003824, GO:0016020, GO:0016021, GO:0003824, GO:0016020, GO:0016021"
"rheb"	"GO:0032008, GO:0007165, GO:0005525, GO:0003924, GO:0016020, GO:0000166"
"rpl34"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622"
"tial1"	"GO:0003723, GO:0003676, GO:0003677"
"wipf3"	"GO:0003779, GO:0051015, GO:0030479, GO:0005884, GO:0006897, GO:0000147, GO:0030048, GO:0051127, GO:0051666"
"rundc3b"	""
"rasal2"	"GO:0043087, GO:0007165, GO:0005096, GO:0043547"
"col25a1"	"GO:0005615, GO:0005201, GO:0030198, GO:0031012, GO:0008201"
"aff2"	"GO:0005634, GO:0016607, GO:0006355, GO:0043484, GO:0002151"
"lrsam1"	"GO:0005515, GO:0005737, GO:0016020, GO:0061630, GO:0000209, GO:0048666, GO:0060218, GO:0070086, GO:1904417, GO:2000786"
"capsl"	"GO:0005509"
"prr15"	""
"rassf9"	"GO:0016197, GO:0007165, GO:0005768, GO:0005829, GO:0055037, GO:0046907, GO:0012510"
"gcnt2.2"	"GO:0008375, GO:0016020, GO:0016021, GO:0008375, GO:0016020"
"ap4e1"	"GO:0015031, GO:0030117, GO:0006886, GO:0016192, GO:0030124, GO:0016020, GO:0005794"
"chn1"	"GO:0051056, GO:0035556, GO:0043547, GO:0005096, GO:0007165, GO:0046872"
"rasd2"	"GO:0007165, GO:0005525, GO:0003924, GO:0016020, GO:0000166"
"mgat4c"	"GO:0016020, GO:0016021"
"tbc1d24.2"	""
"abcb1"	"GO:0042626, GO:0016887, GO:0055085, GO:0005524, GO:0016021, GO:0016020, GO:0000166, GO:0005886, GO:0071806, GO:0045332, GO:0015462, GO:0015562, GO:0019534, GO:0090554, GO:0090555, GO:0099038, GO:0009636, GO:0099040, GO:1901998"
"fkbp15"	"GO:0030426, GO:0003755, GO:0016853, GO:0000413, GO:0005884"
"ugt3a2"	"GO:0016758, GO:0016020, GO:0016021, GO:0016740, GO:0043231, GO:0016757, GO:0008194, GO:0015020"
"opn4"	"GO:0007601, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0005887, GO:0007165, GO:0008020, GO:0009881, GO:0007602, GO:0009584, GO:0018298, GO:0050896, GO:0071482"
"mta2"	"GO:0016581, GO:0003682, GO:0043565, GO:0006355, GO:0003677, GO:0008270, GO:0005634, GO:0003713, GO:0003714, GO:0000122, GO:0005654, GO:0042826, GO:1903508, GO:0016575, GO:0001103, GO:0031101"
"prkag2"	"GO:0032559, GO:0071900"
"rhbdd2"	"GO:0004252, GO:0016021, GO:0016020, GO:0006508, GO:0004252, GO:0016021, GO:0016020, GO:0006508"
"cep290"	"GO:0005813, GO:0060271, GO:0005634, GO:0005813, GO:0060271, GO:0005634"
"tcf20"	"GO:0046872, GO:0005634, GO:0003700, GO:0045944, GO:0044212"
"fmr1"	"GO:0003729, GO:0003723, GO:0003676, GO:0006417, GO:0016020, GO:0005634, GO:0005694, GO:0042803, GO:0005737, GO:0005886, GO:0006974, GO:0003730, GO:0030054, GO:0042995, GO:0014069, GO:0006397, GO:0030424, GO:0000381, GO:0008380, GO:0030425, GO:0045202, GO:0030426, GO:0043025, GO:0048471, GO:0043488, GO:0007399, GO:0007417, GO:0005730, GO:0010494, GO:0046982, GO:0001934, GO:0043679, GO:0005844, GO:0017148, GO:0051028, GO:0005654, GO:0003682, GO:1904115, GO:0045211, GO:0043197, GO:0035198, GO:0060964, GO:1990904, GO:0008017, GO:0008089, GO:0048814, GO:0032797, GO:0060998, GO:0098793, GO:2001022, GO:0045727, GO:0000775, GO:0035197, GO:0045947, GO:0051489, GO:0032433, GO:0042734, GO:0043005, GO:0010629, GO:0034644, GO:0008150, GO:0002151, GO:0008266, GO:0030371, GO:0033592, GO:0034046, GO:0035064, GO:0035613, GO:0045182, GO:0048027, GO:0070840, GO:1990825, GO:0002092, GO:0007215, GO:0007420, GO:0014036, GO:0021905, GO:0033129, GO:0046928, GO:0048755, GO:0048812, GO:0050890, GO:0051216, GO:0051491, GO:0060999, GO:0072711, GO:0090365, GO:0098908, GO:0099578, GO:1900453, GO:1901386, GO:1901800, GO:1902416, GO:1905244, GO:2000301, GO:2000637, GO:2000766, GO:0010369, GO:0019897, GO:0035770, GO:0036464, GO:0043204, GO:0044326, GO:0071598, GO:0097386, GO:0098794, GO:1902737, GO:1990812, GO:0003729, GO:0003723, GO:0003676, GO:0006417, GO:0016020, GO:0005634, GO:0005694, GO:0042803, GO:0005737, GO:0005886, GO:0006974, GO:0003730, GO:0030054, GO:0042995, GO:0014069, GO:0006397, GO:0030424, GO:0000381, GO:0008380, GO:0030425, GO:0045202, GO:0030426, GO:0043025, GO:0048471, GO:0043488, GO:0007399, GO:0007417, GO:0005730, GO:0010494, GO:0046982, GO:0001934, GO:0043679, GO:0005844, GO:0017148, GO:0051028, GO:0005654, GO:0003682, GO:1904115, GO:0045211, GO:0043197, GO:0035198, GO:0060964, GO:1990904, GO:0008017, GO:0008089, GO:0048814, GO:0032797, GO:0060998, GO:0098793, GO:2001022, GO:0045727, GO:0000775, GO:0035197, GO:0045947, GO:0051489, GO:0032433, GO:0042734, GO:0043005, GO:0010629, GO:0034644, GO:0008150, GO:0002151, GO:0008266, GO:0030371, GO:0033592, GO:0034046, GO:0035064, GO:0035613, GO:0045182, GO:0048027, GO:0070840, GO:1990825, GO:0002092, GO:0007215, GO:0033129, GO:0046928, GO:0051491, GO:0060999, GO:0072711, GO:0098908, GO:0099578, GO:1900453, GO:1901386, GO:1901800, GO:1902416, GO:1905244, GO:2000301, GO:2000637, GO:2000766, GO:0010369, GO:0019897, GO:0035770, GO:0036464, GO:0043204, GO:0044326, GO:0071598, GO:0097386, GO:0098794, GO:1902737, GO:1990812"
"tfap2a"	"GO:0003700, GO:0006355, GO:0005634, GO:0000977, GO:0006357, GO:0000981, GO:0003700, GO:0006355, GO:0005634, GO:0000977, GO:0006357, GO:0000981, GO:0001501, GO:0007422, GO:0014032, GO:0014036, GO:0030182, GO:0030318, GO:0030902, GO:0043049, GO:0043473, GO:0048701, GO:0050935, GO:0051216, GO:0060041, GO:0060788, GO:0071599, GO:0071696, GO:0071698, GO:0003700, GO:0006355, GO:0005634, GO:0000977, GO:0006357, GO:0000981"
"cfap52"	"GO:0005515"
"shpk"	"GO:0005975, GO:0016773, GO:0005737, GO:0016310, GO:0071222, GO:0050277"
"taf15"	"GO:0006355, GO:0003723, GO:0003676, GO:0046872, GO:0005634, GO:0006355, GO:0003723, GO:0003676, GO:0046872, GO:0005634"
"trmt5"	"GO:0030488, GO:0009019, GO:0005634, GO:0008168, GO:0016740, GO:0008033, GO:0032259, GO:0005737, GO:0005739, GO:0005759, GO:0008175, GO:0052906, GO:0002939, GO:0070901"
"adamts5"	"GO:0004222, GO:0008237, GO:0006508"
"serhl"	""
"thdl18"	"GO:0005576, GO:0005576"
"gskip"	"GO:0051018, GO:0060828"
"scg3"	""
"atg2b"	"GO:0006914, GO:0000045, GO:0000422, GO:0000407, GO:0019898, GO:0006914, GO:0000045, GO:0000422, GO:0000407, GO:0019898"
"ctns"	"GO:0016020, GO:0016021, GO:0005765, GO:0005774, GO:0015184, GO:0015811, GO:0003094, GO:0070293"
"inmt"	"GO:0008168, GO:0005737, GO:0005829, GO:0032259, GO:0008168, GO:0005737, GO:0005829, GO:0032259"
"gpr171"	""
"etnppl"	"GO:0008483, GO:0030170, GO:0003824, GO:0035162, GO:0008483, GO:0030170, GO:0003824"
"myl6"	"GO:0005509, GO:0005509"
"rps16"	"GO:0005840, GO:0006412, GO:0003735, GO:0000462, GO:0022627, GO:0003723"
"atr"	"GO:0016301, GO:0004674, GO:0005515, GO:0005634, GO:0016740, GO:0000166, GO:0005524, GO:0016310, GO:0006468, GO:0000077, GO:0000723, GO:0003140, GO:0008630, GO:0035469, GO:0060271, GO:1901207"
"bag3"	"GO:0051087, GO:0005515"
"crot"	"GO:0016746, GO:0016740, GO:0005777, GO:0008458, GO:0016746, GO:0016740, GO:0005777, GO:0008458, GO:0016746, GO:0016740, GO:0005777, GO:0008458"
"mmp28"	"GO:0031012, GO:0004222, GO:0008237, GO:0006508, GO:0008270, GO:0016787, GO:0046872, GO:0005615, GO:0030198, GO:0008233, GO:0030574"
"mycn"	"GO:0003700, GO:0006355, GO:0046983, GO:0005634, GO:0003677, GO:0003700, GO:0006355, GO:0046983, GO:0005634, GO:0003677"
"ldb3"	"GO:0005515, GO:0046872, GO:0001756, GO:0007507, GO:0007519, GO:0007626, GO:0005515"
"brinp2"	"GO:0045930, GO:0045666, GO:0005783, GO:0030425, GO:0043025, GO:0071300, GO:0045930, GO:0045666, GO:0005783, GO:0030425, GO:0043025, GO:0071300"
"c19orf12"	"GO:0016020, GO:0016021, GO:0005737, GO:0005739, GO:0005829, GO:0005783, GO:0031966"
"ar"	"GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0046872, GO:0043401, GO:0006357, GO:0030522, GO:0000981, GO:0004879, GO:0005497, GO:0001556, GO:0008049, GO:0008584"
"rrp7a"	"GO:0003676, GO:0000028, GO:0006364, GO:0032545, GO:0034456"
"cdh3"	"GO:0098609, GO:0007156, GO:0005886, GO:0007155, GO:0005509, GO:0016020, GO:0016021, GO:0046872, GO:0042803, GO:0009986, GO:0005737, GO:0008092, GO:0045296, GO:0000902, GO:0007043, GO:0016339, GO:0034332, GO:0044331, GO:0005913, GO:0016342"
"plekhf1"	"GO:0046872, GO:0035091"
"ophn1"	"GO:0007165, GO:0005737, GO:0005096, GO:0043547, GO:0048488, GO:0015629, GO:0030036, GO:0043195, GO:0043197, GO:0051966, GO:0030100, GO:1901799"
"inpp5f"	"GO:0042578, GO:0005769, GO:0046856, GO:0045334, GO:0043812, GO:2001135"
"fam49a"	"GO:0045580, GO:0048538"
"pop4"	"GO:0008033, GO:0004540, GO:0006396, GO:0003723, GO:0030677, GO:0005634, GO:0090501, GO:0090502, GO:0005730, GO:0006364, GO:0004526, GO:0000172, GO:0000171, GO:0033204"
"stmn1"	"GO:0031110, GO:0005737, GO:0043005, GO:0031175, GO:0015631, GO:0007019, GO:0051493"
"stag3"	"GO:0005634, GO:0003682, GO:0008278, GO:0000785, GO:0007062"
"ormdl1"	"GO:0005789, GO:0016021, GO:0006672, GO:0090155, GO:0016020, GO:0005783, GO:0090156, GO:1900060, GO:0035339"
"cpvl"	"GO:0004185, GO:0006508, GO:0051603, GO:0004180"
"abhd10"	", "
"gas2l2"	"GO:0008017, GO:0005515, GO:0008017, GO:0005515"
"lysmd2"	""
"slc31a1"	"GO:0016021, GO:0005375, GO:0035434, GO:0016020, GO:0005886, GO:0006878, GO:0042539, GO:0046688, GO:0071391"
"osgepl1"	"GO:0004222, GO:0002949, GO:0006508, GO:0004222, GO:0002949"
"etv3l"	"GO:0043565, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0006357, GO:0000981, GO:0030154"
"prpf4"	"GO:0005515, GO:0000398, GO:0046540, GO:0017070, GO:0030621, GO:0009792, GO:0043009, GO:0060041"
"otogl2"	"GO:0007605, GO:0005515, GO:0046556, GO:0046373, GO:0005576, GO:0032474, GO:0048752"
"stmn3"	"GO:0031122, GO:0015631, GO:0031175, GO:0005737, GO:0031110, GO:0043005, GO:0007019, GO:0051493"
"gmeb2"	"GO:0005634, GO:0003713, GO:0003677, GO:0000978, GO:0006357, GO:1903508"
"gpc2"	"GO:0046658, GO:0009966, GO:0062023, GO:0016020, GO:0005886, GO:0031225"
"mcmbp"	", , "
"tmod2"	"GO:0051694, GO:0005523, GO:0006936, GO:0030239, GO:0005865, GO:0030016"
"vstm2b"	"GO:0016020, GO:0016021, "
"nr1h2"	"GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0046872, GO:0043401, GO:0055088, GO:0000122, GO:0045944, GO:0000977, GO:0000976, GO:0000981, GO:0030154, GO:0008134, GO:0030374, GO:0038023, GO:0007275, GO:0090575, GO:0042632, GO:0006629, GO:0071222"
"rasl10b"	"GO:0007165, GO:0005525, GO:0003924, GO:0016020"
"serhl2"	", "
"tax1bp3"	"GO:0005515, GO:0016020, GO:0005634, GO:0005737, GO:0005886, GO:0016055, GO:0043231, GO:0060028"
"plcxd2"	"GO:0006629, GO:0008081, GO:0005737"
"slc35b3"	"GO:0055085, GO:0016020, GO:0016021, GO:0030173, GO:0030176, GO:0022857, GO:0046964, GO:1902559"
"bmpr1a"	"GO:0007178, GO:0004675, GO:0005524, GO:0004672, GO:0006468, GO:0016020, GO:0016021, GO:0005887, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0043235, GO:0004674, GO:0005024, GO:0019838, GO:0046332, GO:0007179, GO:0007389, GO:0005025"
"eml3"	"GO:0005515, GO:0015630, GO:0008017, GO:0000226"
"smarcc2"	"GO:0003677, GO:0005515, GO:0016514, GO:0071564, GO:0071565, GO:0005634, GO:0003677, GO:0005515, GO:0016514, GO:0071564, GO:0071565, GO:0005634"
"ap2b1"	"GO:0030276, GO:0015031, GO:0030117, GO:0030131, GO:0006886, GO:0005515, GO:0016192, GO:0016020, GO:0005737"
"nectin3"	"GO:0007286, GO:0005911, GO:0007155, GO:0042803, GO:0050839, GO:0016020, GO:0016021, GO:0007156, GO:0038023, GO:0005913, GO:0007157, GO:0043296"
"gal3st4"	"GO:0005794, GO:0016021, GO:0001733, GO:0009247, GO:0016020"
"ostc"	"GO:0016020, GO:0016021, GO:0008250"
"arhgap44"	"GO:0005737, GO:0007165, GO:0005515, GO:0005096, GO:0043547, GO:0048365, GO:0014069, GO:0032956, GO:0043197, GO:0048786, GO:0061001, GO:0098887, GO:0035021, GO:0098886, GO:0031256"
"rassf8"	"GO:0007165, GO:0034334"
"ankar"	"GO:0005515"
"pls1"	"GO:0051017, GO:0051015, GO:0005509, GO:0005515, GO:0005737, GO:0003779, GO:0005884, GO:0051639, GO:0032432"
"emc6"	"GO:0005783, GO:0016021, GO:0072546, GO:0016020, GO:0000045, GO:0034975"
"was"	"GO:2000601, GO:0007015, GO:0003779, GO:0051015, GO:0030479, GO:0005884, GO:0006897, GO:0000147, GO:0030048, GO:0051127, GO:0051666, GO:2000601, GO:0007015, GO:0003779, GO:0051015, GO:0030479, GO:0005884, GO:0006897, GO:0000147, GO:0030048, GO:0051127, GO:0051666"
"wdr31"	"GO:0005515"
"eef1e1"	""
"scg2"	"GO:0030141, GO:0005615, GO:0010469, GO:0005125, GO:0042056, GO:0001525, GO:0050918, GO:0048245"
"psme4"	"GO:0016504, GO:0070577, GO:0070628, GO:0005634, GO:0005829, GO:0010499, GO:0010952, GO:0035093, GO:1990111"
"poldip3"	"GO:0006406, GO:0003723, GO:0003676, GO:0005623, GO:0006406, GO:0003723, GO:0003676, GO:0005623"
"bhlhe41"	"GO:0006355, GO:0046983, GO:0003677, GO:0005634, GO:0043565, GO:0003714, GO:0000977, GO:0030154, GO:0008134, GO:1990837, GO:0001756, GO:0007219, GO:0050767, GO:0009409, GO:0030431, GO:0045892, GO:0006355, GO:0046983, GO:0003677, GO:0005634, GO:0043565, GO:0003714, GO:0000977, GO:0030154, GO:0008134, GO:1990837, GO:0001756, GO:0007219, GO:0050767, GO:1903507"
"tril"	"GO:0005515, GO:0016020, GO:0016021, GO:0005615, GO:0031012, GO:0001530, GO:0002718, GO:0034142, GO:0046696"
"lef1"	"GO:0008013, GO:0016055, GO:0006357, GO:0003677, GO:0005634, GO:0005737, GO:0000978, GO:0003700, GO:0043565, GO:0030331, GO:0045944, GO:0045893, GO:0060070, GO:0045892, GO:0005667, GO:0001569, GO:0003682, GO:0006355, GO:0042100, GO:0030509, GO:0002040, GO:0044212, GO:0001756, GO:0070016, GO:0046632, GO:0045295, GO:0035326, GO:0001649, GO:0001755, GO:0001837, GO:0010628, GO:0021542, GO:0021854, GO:0021861, GO:0021873, GO:0021879, GO:0021943, GO:0021979, GO:0022008, GO:0022407, GO:0030223, GO:0030326, GO:0030879, GO:0031101, GO:0032696, GO:0032713, GO:0032714, GO:0033333, GO:0033334, GO:0033336, GO:0033339, GO:0043154, GO:0048069, GO:0048341, GO:0048747, GO:0048916, GO:0048919, GO:0048922, GO:0050769, GO:0060325, GO:0060561, GO:0060784, GO:0061153, GO:0071864, GO:0071866, GO:0071895, GO:1900052"
"nipal1"	"GO:0015693, GO:0015095, GO:0016021, GO:0016020, GO:1903830"
"creb5"	"GO:0003700, GO:0006355, GO:0003676"
"zdhhc7"	"GO:0016020, GO:0016021, GO:0016740, GO:0016746, GO:0005783, GO:0005794, GO:0019706, GO:0006612, GO:0018230"
"ap1s3"	"GO:0015031, GO:0030117, GO:0006886, GO:0016192, GO:0016020, GO:0015031, GO:0030117, GO:0006886, GO:0016192, GO:0016020"
"nodal5.2"	"GO:0008083, GO:0005576, GO:0005615, GO:0043408, GO:0010469, GO:0005125, GO:0005160, GO:0010862, GO:0030509, GO:0042981, GO:0048468, GO:0060395, GO:0070698"
"tmtc3"	"GO:0005515, GO:0016020, GO:0016021"
"acbd7"	"GO:0000062"
"acpp"	"GO:0016020, GO:0016021"
"tmod3"	"GO:0051694, GO:0005523, GO:0030036, GO:0048821, GO:0006936, GO:0030239, GO:0005865, GO:0030016, GO:0051694, GO:0005523, GO:0030036, GO:0048821, GO:0006936, GO:0030239, GO:0005865, GO:0030016"
"jazf1"	"GO:0003676, GO:0005634"
"sec23ip"	"GO:0046872, GO:0006888, GO:0030134, GO:0004620, GO:0046872, GO:0006888, GO:0030134, GO:0004620"
"kmt2c"	"GO:0005634, GO:0005515, GO:0042800, GO:0044666, GO:0046872, GO:0008168, GO:0016740, GO:0032259, GO:0042393, GO:0003713, GO:0045944, GO:0051568, GO:0018024, GO:0034968"
"hnf4b"	"GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0046872, GO:0043401"
"cnga1"	"GO:0098655, GO:0007601, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0005221, GO:0016021, GO:0005222, GO:0005223, GO:0030553"
"mmrn2"	"GO:0005515, GO:0031012, GO:0030948, GO:0010811, GO:0090051"
"slc38a5"	"GO:0016020, GO:0016021, GO:0005887, GO:0015171, GO:0003333, GO:0015816, GO:0015187"
"tax1bp1"	""
"hes9.1"	"GO:0046983, GO:0005634, GO:0043565, GO:0003714, GO:0000977, GO:0030154, GO:0008134, GO:1990837, GO:0001756, GO:0007219, GO:0050767, GO:1903507"
"guca1c"	"GO:0007601, GO:0005509, GO:0008048, GO:0031282, GO:0031284"
"bspry"	"GO:0005515"
"hadh"	"GO:0070403, GO:0016491, GO:0055114, GO:0006631, GO:0003857"
"oaz1"	"GO:0005829, GO:0006595, GO:0008073, GO:0043086, GO:0005634, GO:0005737, GO:0045732"
"asnsd1"	"GO:0006529, GO:0004066"
"ndufv1"	"GO:0008137, GO:0016651, GO:0010181, GO:0051287, GO:0055114, GO:0051539, GO:0016020, GO:0046872, GO:0005739, GO:0005743, GO:0005747, GO:0070469, GO:0051536, GO:0003954, GO:0006120, GO:0045333"
"alad"	"GO:0033014, GO:0046872, GO:0003824, GO:0004655, GO:0005829, GO:0016829, GO:0008270, GO:0006783, GO:0006779"
"taf6"	"GO:0006352, GO:0005669, GO:0006367, GO:0006357, GO:0046982, GO:0000124, GO:0046695, GO:0005634, GO:0006325, GO:0006366, GO:0051123, GO:0006352, GO:0005669, GO:0006367, GO:0006357, GO:0046982, GO:0000124, GO:0046695, GO:0005634, GO:0006325, GO:0006366, GO:0051123"
"sncg"	""
"sf3a2"	"GO:0005634, GO:0003676, GO:0008270, GO:0046872, GO:0000245, GO:0005686, GO:0071004, GO:0071013"
"xrcc2"	"GO:0000724, GO:0006281, GO:0005657, GO:0033063, GO:0003677, GO:0005524, GO:0008094"
"ociad1"	", "
"txndc5"	"GO:0016853, GO:0045454, GO:0005623, GO:0043277"
"slc40a1"	"GO:0016021, GO:0005381, GO:0034755, GO:0016020, GO:0006811"
"ptprq"	"GO:0004725, GO:0016791, GO:0006470, GO:0016311, GO:0004721, GO:0016787, GO:0035335"
"dpp6"	"GO:0008236, GO:0006508, GO:0016020, GO:0016021, GO:0008236, GO:0006508"
"kitlg"	"GO:0007155, GO:0016020, GO:0005173, GO:0016021, GO:0005886, GO:0008083, GO:0010469, GO:0007155, GO:0016020, GO:0005173, GO:0016021, GO:0005886, GO:0008083, GO:0010469"
"myf6"	"GO:0007517, GO:0006355, GO:0046983, GO:0005634, GO:0003677, GO:0000978, GO:0045944, GO:0001228, GO:0035914, GO:0045663, GO:0048743, GO:1901741, GO:0007519"
"nfxl1"	"GO:0003700, GO:0006355, GO:0005634, GO:0008270, GO:0016020, GO:0016021, GO:0000977, GO:0003700, GO:0006355, GO:0005634, GO:0008270, GO:0016020, GO:0016021, GO:0000977"
"hibadh"	"GO:0051287, GO:0050661, GO:0016491, GO:0055114, GO:0008442, GO:0005739, GO:0016616, GO:0006574, GO:0009083, GO:0051287, GO:0050661, GO:0016491, GO:0055114, GO:0008442, GO:0005739, GO:0016616, GO:0006574, GO:0009083"
"scarb2"	"GO:0005764, GO:0005044, GO:0016020, GO:0016021, GO:0006898"
"yipf6"	"GO:0016020, GO:0016021"
"col12a1"	"GO:0030199, GO:0062023, GO:0005515, GO:0005595, GO:0005615, GO:0031012, GO:0003429, GO:0035987"
"myf5"	"GO:0007517, GO:0006355, GO:0046983, GO:0005634, GO:0003677, GO:0000978, GO:0045944, GO:0001228, GO:0035914, GO:0045663, GO:0048743, GO:1901741, GO:0002074, GO:0007498, GO:0007519, GO:0014032, GO:0043282, GO:0048741, GO:0055002, GO:0005654, GO:0005730"
"ociad2"	""
"eif1ax"	"GO:0006413, GO:0003743, GO:0003723, GO:0006412"
"glrx5"	"GO:0015035, GO:0009055, GO:0045454, GO:0015036, GO:0046872, GO:0005739, GO:0022900, GO:0055114, GO:0005759, GO:0051536, GO:0051537, GO:0015038, GO:0016226, GO:0030097, GO:0005737"
"plekhj1"	"GO:0005769, GO:0042147, GO:0005802, GO:0005829, GO:0055037, GO:0001881, GO:0007032"
"cyp2u1"	"GO:0016712, GO:0016705, GO:0005506, GO:0055114, GO:0020037, GO:0016020, GO:0016021, GO:0046872, GO:0016491, GO:0005737, GO:0043231, GO:0004497, GO:0008395, GO:0006082, GO:0006805, GO:0042738"
"luc7l2"	"GO:0005685, GO:0003729, GO:0006376, GO:0071004, GO:0005685, GO:0003729, GO:0006376, GO:0071004, GO:0005685, GO:0003729, GO:0006376, GO:0071004"
"dcbld1"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"map7d2"	"GO:0000226, GO:0015630, GO:0000226, GO:0015630"
"polr2d"	"GO:0006352, GO:0044237, GO:0000166, GO:0003824, GO:0030880, GO:0000932, GO:0003697, GO:0003727, GO:0006367, GO:0003899, GO:0031369, GO:0000288, GO:0031990, GO:0034402, GO:0045948, GO:0005665"
"thul16"	"GO:0005515, GO:0051082, GO:0042273"
"erlec1"	", "
"dusp6"	"GO:0017017, GO:0016791, GO:0006470, GO:0016311, GO:0008138, GO:0004721, GO:0016787, GO:0004725, GO:0005737, GO:0005829, GO:0035335, GO:0043065, GO:0000188, GO:0070373, GO:0009953, GO:0040036, GO:0042663, GO:0060420"
"leo1"	"GO:0016593, GO:0016570, GO:0006368, GO:0005634, GO:1990269, GO:0007507, GO:0014032, GO:0021529, GO:0021782, GO:0030318, GO:0032968, GO:0048701, GO:0050936"
"tubb4b"	"GO:0005200, GO:0007017, GO:0005874, GO:0005525, GO:0003924, GO:0005737, GO:0000166, GO:0005856, GO:0000278, GO:0000226"
"sgcb"	"GO:0007517, GO:0016012, GO:0016021, GO:0016020, GO:0042383"
"bmp6"	"GO:0008083, GO:0005576, GO:0005615, GO:0043408, GO:0010469, GO:0005125, GO:0005160, GO:0070700, GO:0010862, GO:0030509, GO:0042981, GO:0048468, GO:0060395"
"lin7a"	"GO:0005515, GO:0045202, GO:0098793, GO:0097016, GO:0007269, GO:0045199, GO:1903361, GO:0005911, GO:0016323, GO:0097025, GO:0005515, GO:0016020, GO:0005886, GO:0030054, GO:0015031, GO:0045202, GO:0097016, GO:0007269, GO:0045199, GO:1903361, GO:0005911, GO:0016323, GO:0097025, GO:0006887, GO:0098793"
"pex12"	"GO:0005779, GO:0008270, GO:0006625, GO:0008022, GO:0016020, GO:0005777, GO:0005778, GO:0006513, GO:0004842, GO:0016558, GO:1990429"
"unc93b1"	"GO:0005768, GO:0016020, GO:0016021, GO:0006886, GO:0005783, GO:0008565, GO:0035325, GO:0034138, GO:0034154, GO:0034162, GO:0005764, GO:0032009, GO:0034121, GO:0005768, GO:0016020, GO:0016021, GO:0006886, GO:0005783, GO:0008565, GO:0035325, GO:0034138, GO:0034154, GO:0034162, GO:0005764, GO:0032009"
"mgc147475"	"GO:0005515, GO:0005886, GO:0005737, GO:0005543, GO:0008092, GO:0005856, GO:0097320, GO:0007010, GO:0005515"
"wdr75"	"GO:0005515"
"dot1l"	"GO:0018024, GO:0051726, GO:0031151, GO:0034729, GO:0005634, GO:0008168, GO:0016740, GO:0032259, GO:0006325, GO:0000077, GO:0000781, GO:0006348, GO:0019725, GO:0060070, GO:0060729, GO:2000677"
"evx1"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0043565, GO:0006355, GO:0003677, GO:0005634"
"ammecr1l"	"GO:0000932, GO:0003697, GO:0003727, GO:0006367, GO:0003899, GO:0031369, GO:0000288, GO:0031990, GO:0034402, GO:0045948, GO:0005665"
"hoxa13"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634, GO:0000981, GO:0000122"
"trpc1"	"GO:0070588, GO:0005262, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0016021, GO:0005515, GO:0005887, GO:0015279, GO:0070679, GO:0006828, GO:0051480, GO:0034703, GO:0001525, GO:0001570, GO:0046847"
"unc45b"	"GO:0005515, GO:0005737, GO:0007517, GO:0007275, GO:0030154, GO:0005829, GO:0051879, GO:0002088, GO:0007519, GO:0030239, GO:0048738, GO:0048747, GO:0060538, GO:0061077, GO:0030018"
"poc1b"	"GO:0005515, GO:0005737, GO:0005856, GO:0030030, GO:0005814, GO:0005515, GO:0005737, GO:0005856, GO:0030030, GO:0005814"
"anxa5"	"GO:0005544, GO:0005509, GO:0050819, GO:0005544, GO:0005509, GO:0050819"
"hoxa11"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634"
"corin"	"GO:0006508, GO:0004252, GO:0016020, GO:0005515, GO:0016021"
"eif3a"	"GO:0005852, GO:0003723, GO:0005737, GO:0006412, GO:0003743, GO:0001732, GO:0002183, GO:0006413, GO:0016282, GO:0033290, GO:0005852, GO:0003723, GO:0005737, GO:0006412, GO:0003743, GO:0001732, GO:0002183, GO:0006413, GO:0016282, GO:0033290"
"rasl11b"	"GO:0007165, GO:0005525, GO:0003924, GO:0016020, GO:0000166, GO:0048382"
"hoxa10"	"GO:0043565, GO:0006355, GO:0003677, GO:0005634"
"slc34a3"	"GO:0016020, GO:0031526, GO:0015321, GO:0044341, GO:0016021, GO:0005886, GO:0016324, GO:0031982, GO:0035725, GO:0005436, GO:0030643, GO:0005903"
"hoxa9"	"GO:0043565, GO:0006351, GO:0006355, GO:0005634, GO:0003677, GO:0007275"
"hoxa7"	"GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0007275, GO:0000980, GO:0009952"
"mogat2.1"	"GO:0016747, GO:0016020, GO:0016021, GO:0016740, GO:0005737, GO:0016746, GO:0005783, GO:0005789, GO:0048471, GO:0006629, GO:0003846, GO:0006071, GO:0019432, GO:1990578"
